# Метеостанция Москва (ВДНХ), Россия, WMO_ID=27612, выборка с 01.03.2023 по 31.05.2023, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27612&lang=ru
#
"Местное время в Москве (ВДНХ)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.05.2023 06:00";"8.8";"753.4";"767.2";"0.0";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"6.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.3";"Осадков нет";"12";"";"";"";"";
"12.05.2023 03:00";"7.4";"753.4";"767.2";"0.0";"93";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.3";"";"";"";"";"";"";
"12.05.2023 00:00";"9.2";"753.4";"767.2";"-0.1";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"18.0";"6.3";"";"";"";"";"";"";
"11.05.2023 21:00";"11.6";"753.5";"767.1";"0.4";"66";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"18.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.5";"2.0";"12";"";"";"";"";
"11.05.2023 18:00";"16.1";"753.1";"766.4";"-0.9";"50";"Ветер, дующий с западо-юго-запада";"1";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"5.5";"2.0";"12";"";"";"";"";
"11.05.2023 15:00";"12.0";"754.0";"767.7";"0.1";"86";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"100%.";"600-1000";"";"";"9.0";"9.7";"";"";"";"";"";"";
"11.05.2023 12:00";"16.7";"753.9";"767.3";"-0.4";"37";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"1.8";"";"";"";"";"";"";
"11.05.2023 09:00";"15.1";"754.3";"767.8";"0.3";"45";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"8.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"3.2";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
"11.05.2023 06:00";"9.2";"754.0";"767.8";"0.2";"69";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"8.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"3.8";"Осадков нет";"12";"";"";"";"";
"11.05.2023 03:00";"9.1";"753.8";"767.5";"0.1";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"3.9";"";"";"";"";"";"";
"11.05.2023 00:00";"10.3";"753.7";"767.3";"0.0";"60";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"2.8";"";"";"";"";"";"";
"10.05.2023 21:00";"11.8";"753.7";"767.2";"0.1";"56";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"16.2";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"3.1";"Осадков нет";"12";"";"";"";"";
"10.05.2023 18:00";"15.6";"753.6";"767.0";"-0.6";"30";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-2.2";"Осадков нет";"12";"";"";"";"";
"10.05.2023 15:00";"15.8";"754.2";"767.6";"-1.0";"28";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"-3.0";"";"";"";"";"";"";
"10.05.2023 12:00";"15.5";"755.2";"768.7";"-0.8";"28";"Ветер, дующий с северо-северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"19.0";"-3.2";"";"";"";"";"";"";
"10.05.2023 09:00";"11.9";"756.0";"769.6";"-0.5";"37";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"6.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"-2.4";"Осадков нет";"12";"Поверхность почвы влажная.";"7.0";"";"";
"10.05.2023 06:00";"6.8";"756.5";"770.4";"-0.2";"64";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"6.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.3";"Осадков нет";"12";"";"";"";"";
"10.05.2023 03:00";"6.5";"756.7";"770.7";"-0.3";"63";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.2";"";"";"";"";"";"";
"10.05.2023 00:00";"7.6";"757.0";"770.9";"-0.2";"57";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"-0.5";"";"";"";"";"";"";
"09.05.2023 21:00";"8.0";"757.2";"771.1";"-0.4";"53";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"14.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"-1.1";"Осадков нет";"12";"";"";"";"";
"09.05.2023 18:00";"13.1";"757.6";"771.2";"-1.2";"24";"Ветер, дующий с северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.0";"Осадков нет";"12";"";"";"";"";
"09.05.2023 15:00";"13.0";"758.8";"772.4";"-1.2";"25";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.8";"";"";"";"";"";"";
"09.05.2023 12:00";"12.7";"760.0";"773.7";"-1.1";"28";"Ветер, дующий с северо-запада";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.4";"";"";"";"";"";"";
"09.05.2023 09:00";"10.7";"761.1";"774.9";"0.2";"34";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"-0.9";"";"";"";"";"";"";"20.0";"-4.7";"Осадков нет";"12";"Поверхность почвы влажная.";"1.0";"";"";
"09.05.2023 06:00";"1.0";"760.9";"775.3";"0.2";"87";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-0.9";"";"";"";"";"";"";"16.0";"-1.0";"Осадков нет";"12";"";"";"";"";
"09.05.2023 03:00";"0.2";"760.7";"775.0";"0.1";"84";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-2.3";"";"";"";"";"";"";
"09.05.2023 00:00";"1.2";"760.6";"774.8";"0.4";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-2.8";"";"";"";"";"";"";
"08.05.2023 21:00";"5.3";"760.2";"774.2";"0.3";"57";"Ветер, дующий с западо-юго-запада";"1";"";"";"20–30%.";" ";"";"";"";"10.9";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.7";"Осадков нет";"12";"";"";"";"";
"08.05.2023 18:00";"10.3";"759.9";"773.7";"-0.4";"32";"Ветер, дующий с северо-северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.0";"Осадков нет";"12";"";"";"";"";
"08.05.2023 15:00";"10.3";"760.3";"774.1";"-0.4";"32";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.6";"";"";"";"";"";"";
"08.05.2023 12:00";"9.7";"760.7";"774.5";"-0.4";"35";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.0";"";"";"";"";"";"";
"08.05.2023 09:00";"8.0";"761.1";"775.0";"0.5";"46";"Ветер, дующий с северо-северо-востока";"1";"";"";"Облаков нет.";" ";"";"";"-1.5";"";"";"";"";"";"";"20.0";"-3.1";"Осадков нет";"12";"Поверхность почвы влажная.";"-1.0";"";"";
"08.05.2023 06:00";"0.7";"760.6";"774.9";"0.8";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-1.5";"";"";"";"";"";"";"20.0";"-1.6";"Осадков нет";"12";"";"";"";"";
"08.05.2023 03:00";"-0.6";"759.8";"774.2";"0.4";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-3.1";"";"";"";"";"";"";
"08.05.2023 00:00";"1.3";"759.4";"773.7";"0.8";"76";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-2.6";"";"";"";"";"";"";
"07.05.2023 21:00";"5.7";"758.6";"772.6";"0.7";"46";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";" ";"";"";"";"9.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.2";"Осадков нет";"12";"";"";"";"";
"07.05.2023 18:00";"8.6";"757.9";"771.8";"-0.2";"30";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.2";"Осадков нет";"12";"";"";"";"";
"07.05.2023 15:00";"7.8";"758.1";"772.0";"-0.1";"31";"Ветер, дующий с северо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.4";"";"";"";"";"";"";
"07.05.2023 12:00";"6.7";"758.2";"772.2";"-0.1";"36";"Ветер, дующий с северо-северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.5";"";"";"";"";"";"";
"07.05.2023 09:00";"3.8";"758.3";"772.4";"0.7";"51";"Ветер, дующий с севера";"3";"";"";"70 – 80%.";" ";"";"";"-1.3";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.5";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"07.05.2023 06:00";"0.3";"757.6";"771.9";"0.8";"78";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"-1.3";"";"";"";"";"";"";"20.0";"-3.2";"Осадков нет";"12";"";"";"";"";
"07.05.2023 03:00";"-0.4";"756.8";"771.1";"0.4";"80";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-3.5";"";"";"";"";"";"";
"07.05.2023 00:00";"1.5";"756.4";"770.5";"0.3";"67";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.0";"";"";"";"";"";"";
"06.05.2023 21:00";"3.4";"756.1";"770.2";"0.7";"51";"Ветер, дующий с западо-северо-запада";"1";"";"";"60%.";" ";"";"";"";"6.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-5.9";"Осадков нет";"12";"";"";"";"";
"06.05.2023 18:00";"5.1";"755.4";"769.3";"0.5";"41";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-7.3";"Осадков нет";"12";"";"";"";"";
"06.05.2023 15:00";"5.8";"754.9";"768.9";"-0.1";"35";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2000-2500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-8.5";"";"";"";"";"";"";
"06.05.2023 12:00";"4.3";"755.0";"769.0";"0.5";"47";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-6.1";"";"";"";"";"";"";
"06.05.2023 09:00";"2.1";"754.5";"768.6";"0.5";"62";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"-0.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-4.5";"Осадков нет";"12";"Поверхность почвы влажная.";"1.0";"";"";
"06.05.2023 06:00";"-0.1";"754.0";"768.2";"0.6";"79";"Ветер, дующий с северо-запада";"2";"";"";"50%.";" ";"";"";"-0.6";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.4";"Осадков нет";"12";"";"";"";"";
"06.05.2023 03:00";"0.8";"753.4";"767.6";"0.2";"68";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-4.6";"";"";"";"";"";"";
"06.05.2023 00:00";"3.3";"753.2";"767.2";"0.1";"50";"Ветер, дующий с северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"-6.2";"";"";"";"";"";"";
"05.05.2023 21:00";"3.0";"753.1";"767.2";"0.1";"60";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"7.2";"";"";"";"";"";"20.0";"-4.0";"Осадков нет";"12";"";"";"";"";
"05.05.2023 18:00";"6.6";"753.0";"766.9";"-0.3";"44";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.9";"Осадков нет";"12";"";"";"";"";
"05.05.2023 15:00";"6.0";"753.3";"767.2";"0.1";"58";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-1.7";"";"";"";"";"";"";
"05.05.2023 12:00";"5.6";"753.2";"767.2";"1.0";"62";"Ветер, дующий с северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"-1.2";"";"";"";"";"";"";
"05.05.2023 09:00";"6.6";"752.2";"766.1";"0.6";"65";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"4.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.5";"Осадков нет";"12";"Поверхность почвы влажная.";"6.0";"";"";
"05.05.2023 06:00";"6.1";"751.6";"765.4";"0.0";"66";"Ветер, дующий с западо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"4.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"0.1";"Осадков нет";"12";"";"";"";"";
"05.05.2023 03:00";"7.1";"751.6";"765.4";"-0.6";"64";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.6";"";"";"";"";"";"";
"05.05.2023 00:00";"9.3";"752.2";"765.8";"0.0";"50";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.6";"";"";"";"";"";"";
"04.05.2023 21:00";"10.6";"752.2";"765.9";"-0.5";"49";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"14.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.1";"Осадков нет";"12";"";"";"";"";
"04.05.2023 18:00";"13.4";"752.7";"766.2";"-0.8";"30";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-3.9";"Осадков нет";"12";"";"";"";"";
"04.05.2023 15:00";"14.6";"753.5";"767.0";"-1.0";"28";"Ветер, дующий с юго-запада";"1";"";"";"40%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-4.0";"";"";"";"";"";"";
"04.05.2023 12:00";"12.2";"754.5";"768.1";"-0.7";"35";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-3.0";"";"";"";"";"";"";
"04.05.2023 09:00";"10.2";"755.2";"768.9";"0.7";"45";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"2.9";"";"";"";"";"";"";"20.0";"-1.4";"0.3";"12";"Поверхность почвы влажная.";"3.0";"";"";
"04.05.2023 06:00";"4.0";"754.5";"768.5";"0.6";"82";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";" ";"";"";"2.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"1.1";"0.3";"12";"";"";"";"";
"04.05.2023 03:00";"3.8";"753.9";"767.9";"0.5";"83";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"20.0";"1.1";"";"";"";"";"";"";
"04.05.2023 00:00";"7.5";"753.4";"767.2";"1.1";"65";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"1.3";"";"";"";"";"";"";
